Entrez ID,Gene Symbol - First value,T-test P-value,log2(Fold Change)
51559,NT5DC3,0.00394419,0.0215064
51566,ARMCX3,0.0131334,0.0287583
51581,ERVH-6,0.0100855,0.0216791
51585,PCF11,0.0383606,-0.021227
51586,MED15,0.0486947,-0.028737
5159,PDGFRB,0.00777966,0.0209146
5170,LOC101060747,7.63429e-09,0.0444763
51742,ARID4B,7.52546e-05,-0.0245297
51747,LUC7L3,0.00477045,0.0339864
5176,SERPINF1,0.0159195,0.0466723
51762,RAB8B,0.0120666,0.0305106
51807,TUBA8,0.00285629,-0.0293315
5198,PFAS,0.00131507,0.0211269
5260,PHKG1,0.00123527,0.0244715
5294,PIK3CG,0.00604603,0.0283484
5331,PLCB3,0.00144039,-0.0371588
53345,TM6SF2,0.0142269,0.0210387
5339,PLEC,0.00536976,-0.0505324
5340,PLG,0.000324072,0.02576
5366,PMAIP1,0.0352261,-0.035625
5376,PMP22,0.000852292,0.0263851
5378,PMS1,0.0335102,0.0272924
54103,GSAP,0.000580577,0.0335627
54207,KCNK10,0.00307023,-0.0351193
5423,POLB,0.000469814,0.0230671
5429,POLH,0.047862,-0.0210769
5434,POLR2E,0.0179108,-0.0252782
5437,POLR2H,0.000217443,0.0277687
54453,RIN2,0.0230736,-0.0239982
5447,POR,0.0333581,-0.0291335
54509,RHOF,0.00116897,0.0246981
54541,DDIT4,0.0114864,0.0243795
54623,PAF1,0.00014169,-0.0267687
54765,TRIM44,3.3687e-06,0.0334173
54815,GATAD2A,0.00115521,-0.0261384
54831,BEST2,0.00120828,0.0290728
54872,PIGG,0.0117328,0.022244
54878,DPP8,4.67739e-06,0.0523323
54905,CYP2W1,0.00255308,-0.0402179
54916,TMEM260,0.0234459,-0.0288447
54932,EXD3,0.0108556,-0.0278952
54938,SARS2,0.00196874,0.0241839
54946,SLC41A3,0.000294846,0.0253223
5496,PPM1G,0.0310657,-0.0225087
54964,C1orf56,0.00212081,-0.0416075
54976,C20orf27,0.0300933,-0.0307565
54993,ZSCAN2,0.00786514,-0.0250161
54995,OXSM,0.0113501,0.0226714
5500,PPP1CB,0.0247011,-0.0255719
55003,PAK1IP1,0.0170809,-0.0222006
55040,EPN3,0.000290117,0.0269076
55070,DET1,0.0266709,0.0225835
55081,IFT57,0.0129399,-0.0305891
55092,TMEM51,0.00673261,0.0215046
55096,EBLN2,0.000398844,0.0326584
551,AVP,0.00407578,0.0225896
55157,DARS2,0.000738407,0.0217766
55194,EVA1B,0.0426007,-0.0217282
55201,MAP1S,0.0105144,-0.0521831
55237,VRTN,0.0341036,-0.0261849
55240,STEAP3,0.00758265,0.0220763
55252,ASXL2,0.0122187,-0.0251958
55272,IMP3,0.00254027,0.0243755
55279,ZNF654,0.000734132,0.0440474
55281,TMEM140,0.0210303,0.0280019
5530,PPP3CA,0.0075272,-0.0229661
55315,SLC29A3,7.92495e-05,0.0247802
55350,VNN3,0.00537912,0.0315179
55357,TBC1D2,8.21809e-05,-0.0530848
55526,DHTKD1,1.48843e-05,0.0308577
5554,PRH1,0.00408993,-0.0494123
55544,RBM38,0.0115717,-0.0291709
55547,HAB1,0.0050195,-0.0468089
55622,TTC27,7.15217e-05,0.0371312
55634,KRBOX4,0.0174752,0.0239651
55640,FLVCR2,0.0300009,-0.0224349
55643,BTBD2,0.0173281,-0.0279783
55647,RAB20,0.00665148,0.0257313
55656,INTS8,0.00222992,0.0316268
55672,NBPF1,0.00079445,0.0221505
55680,RUFY2,0.00697909,0.047804
