Entrez ID,Gene Symbol - First value,T-test P-value,log2(Fold Change)
79784,MYH14,0.00697349,-0.021487
79825,EFCC1,0.000620659,0.0310329
79844,ZDHHC11,0.00643722,-0.0389403
79872,CBLL1,0.00457682,-0.0292386
79902,NUP85,0.00834593,0.027493
79906,MORN1,0.00825701,-0.0330704
79927,FAM110D,0.00160285,0.0256136
79960,JADE1,0.0213506,0.0210841
79961,DENND2D,0.0295174,0.0230955
79966,SCD5,0.00149752,-0.0971606
79982,DNAJB14,0.00530321,-0.0597289
80000,GREB1L,0.0136394,0.0218069
80004,ESRP2,0.00185296,0.0208974
80035,ANP32A-IT1,0.0230357,-0.0209341
80142,PTGES2,0.0310164,-0.0257505
80169,CTC1,0.0160793,0.0216788
80207,OPA3,0.000325552,-0.0318973
80223,RAB11FIP1,0.00011262,-0.0374609
80228,ORAI2,0.0104323,-0.0209013
80852,GRIP2,0.000663352,0.0244765
8115,TCL1A,0.0427591,0.0321405
81545,FBXO38,0.0224754,-0.0236704
81551,STMN4,2.4825e-05,0.0305453
81553,FAM49A,0.0395023,0.0229171
81555,YIPF5,0.00875084,0.0371042
81611,ANP32E,0.021313,-0.0301432
81831,NETO2,0.0395351,0.0226399
81855,SFXN3,0.0325066,-0.0215087
81858,SHARPIN,0.0171092,0.0221555
81890,QTRT1,0.00989219,0.0228102
81932,HDHD3,0.00422901,0.0257199
8195,MKKS,0.011875,0.0291725
820,CAMP,0.0213192,-0.0940719
8269,TMEM187,0.00143644,0.0255386
8289,ARID1A,0.0493451,-0.0211132
829,CAPZA1,0.00172553,-0.021056
8344,HIST1H2BE,0.0160565,0.0281282
83444,INO80B,0.0491655,-0.0213223
83452,RAB33B,0.0161946,-0.0306014
83463,MXD3,0.00157319,-0.0244277
83468,GLT8D2,5.40855e-06,0.0296182
8348,HIST1H2BO,0.000133702,0.0236966
8349,HIST2H2BE,0.0486133,0.0381468
8350,HIST1H3A,0.0335458,0.0280406
8355,HIST1H3G,0.00151502,0.0230966
8363,HIST1H4J,0.0043741,0.0228925
8365,HIST1H4H,0.00743434,0.0247503
83658,DYNLRB1,1.45036e-05,-0.0238426
8369,HIST1H4G,0.000718314,0.0234017
83737,ITCH,0.000259361,0.0242767
8402,SLC25A11,0.000213392,-0.0338254
84061,MAGT1,0.0206817,-0.0217486
84079,ANKRD27,0.00582018,-0.0314586
8425,LTBP4,0.0336248,-0.0208684
8435,SOAT2,0.00134241,-0.0228234
8456,FOXN1,0.0014725,0.0252301
8458,TTF2,0.00818649,-0.0242439
8459,TPST2,0.0136134,-0.0265201
84809,CROCCP2,0.00409742,0.0446861
84908,FAM136A,0.00989912,0.0266424
8493,PPM1D,0.0236741,0.0290409
84975,MFSD5,0.0370198,-0.0252718
8533,COPS3,0.00219315,0.0272644
8553,BHLHE40,0.0366998,-0.0217428
8564,KMO,0.0023211,0.0312409
8609,KLF7,0.000156064,0.0360853
8650,LOC101928143,0.000435452,-0.0299477
8667,EIF3H,0.000346558,0.0209774
8727,CTNNAL1,0.00692125,-0.027586
873,CBR1,0.00198758,0.0419189
874,CBR3,0.000273275,0.0212451
8751,ADAM15,0.01878,-0.0279862
8754,ADAM9,0.018025,-0.0396073
8764,TNFRSF14,0.0443003,-0.0211955
8774,NAPG,0.00157228,0.030488
8785,MATN4,0.00011289,-0.0376723
8795,TNFRSF10B,0.0238307,0.02114
8809,IL18R1,0.00332679,0.0209168
889,KRIT1,0.0064539,-0.0286275
8904,CPNE1,0.0119904,-0.039143
8915,BCL10,0.027142,-0.0248085
8934,RAB29,0.0353426,-0.020935
8935,SKAP2,2.11365e-05,0.0229667
8974,LOC101927705,0.00206712,0.0219947
8987,FAM47E,0.0430697,-0.022889
8993,PGLYRP1,0.00357582,-0.0676229
89944,GLB1L2,0.00398839,0.0223887
9016,SLC25A14,2.72794e-05,0.025169
9020,MAP3K14,0.00456925,0.0260412
9024,BRSK2,4.21101e-05,0.0287249
9034,CCRL2,0.00570485,0.0273184
9044,BTAF1,0.0195098,0.029618
9091,PIGQ,0.00185069,0.0261703
9101,USP8,0.0492858,-0.0252734
9103,FCGR2C,0.00372766,0.0262735
911,CD1C,0.00193941,0.0321923
912,CD1D,0.0309166,0.0259676
913,CD1E,0.0013026,0.0231332
91300,R3HDM4,0.00438517,-0.0233858
9141,PDCD5,0.0100749,-0.0259798
91694,LONRF1,0.0177613,-0.0347808
91775,NXPE3,0.00369369,-0.0294656
91782,CHMP7,0.00174156,-0.0241028
9188,DDX21,0.011889,0.0273697
9194,SLC16A7,0.0357579,-0.0236364
9220,MYO18A,0.0457799,-0.0221989
92342,METTL18,0.0293458,0.0266618
92482,BBIP1,0.0208668,-0.0252375
9260,PDLIM7,0.0121502,-0.0233875
9275,BCL7B,0.00591973,-0.0301871
92856,IMP4,0.00999161,0.0279294
9293,GPR52,0.00293823,0.0248799
9326,ZNHIT3,0.0352312,0.0245069
9334,B4GALT5,0.0122483,-0.0251055
9415,FADS2,0.0279192,-0.0247345
9422,ZNF264,0.00955387,-0.0294574
943,TNFRSF8,0.00731741,-0.0283337
944,TNFSF8,0.0152639,0.0224334
9447,AIM2,0.020098,0.0449282
9480,ONECUT2,0.00104218,0.0241528
9533,POLR1C,0.00183931,0.0232403
9541,CIR1,0.00272485,-0.0355178
9554,LOC102724364,0.00082416,-0.0331977
9586,CREB5,0.0301996,0.0294674
9592,IER2,0.00103076,-0.0452771
9595,CYTIP,0.0319605,-0.0273396
9605,VPS9D1,0.0068513,-0.032758
9617,MTRF1,0.0332766,0.0212524
9639,ARHGEF10,1.41521e-05,0.0213105
9651,PLCH2,0.0152298,-0.0241662
968,CD68,4.62425e-05,-0.0541496
9690,UBE3C,0.000904228,-0.0324274
9759,HDAC4,0.00982066,-0.0373031
9785,DHX38,0.00858311,-0.0211327
9812,KIAA0141,0.00378384,0.02369
9839,ZEB2,1.09875e-05,-0.093008
9860,LRIG2,0.0034284,0.0244791
9882,TBC1D4,0.0094443,0.0224669
9934,P2RY14,0.0383432,0.0408023
9949,AMMECR1,0.00903256,0.0246948
9958,MIR6125,0.000296027,0.0289085
997,CDC34,0.0340535,-0.0266854
9988,DMTF1,0.00022243,0.0514874
9990,SLC12A6,0.00939678,0.0275783
