id,type,UniprotID,Entrez_ID
P2RY12,Gene,Q9H244,Q9H244
TRIM10,Gene,Q9UDY6,Q9UDY6
BTK,Gene,Q06187,Q06187
PRKAR2A,Gene,P13861,P13861
IRF5,Gene,Q13568,Q13568
GRB2,Gene,P62993-1,P62993-1
TAC3,Gene,Q9UHF0,Q9UHF0
ADRA1B,Gene,P35368,P35368
MAPK7,Gene,Q13164,Q13164
CCR7,Gene,P32248,P32248
GRK5,Gene,P34947,P34947
KISS1R,Gene,Q969F8,Q969F8
LCK,Gene,,
MCHR1,Gene,Q99705,Q99705
TRIM29,Gene,Q14134,Q14134
GALR1,Gene,P47211,P47211
TRIM26,Gene,Q12899,Q12899
P2RY2,Gene,P41231,P41231
LPAR1,Gene,Q92633,Q92633
RGR,Gene,P47804,P47804
CXCL2,Gene,P19875,P19875
NMUR1,Gene,Q9HB89,Q9HB89
TAS2R4,Gene,Q9NYW5,Q9NYW5
OPN3,Gene,Q9H1Y3,Q9H1Y3
MTNR1B,Gene,P49286,P49286
GPR183,Gene,P32249,P32249
GPSM2,Gene,P81274,P81274
NPFFR2,Gene,Q9Y5X5,Q9Y5X5
GNAQ,Gene,P50148,P50148
ARHGEF25,Gene,Q86VW2,Q86VW2
MTNR1A,Gene,P48039,P48039
TAS2R1,Gene,Q9NYW7,Q9NYW7
HLA-DPB1,Gene,P04440,P04440
UTS2R,Gene,Q9UKP6,Q9UKP6
IDH1,Gene,,
C3,Gene,P01024,P01024
HLA-DRB1,Gene,P01911,P01911
TAS1R3,Gene,Q7RTX0,Q7RTX0
AGTR1,Gene,P30556,P30556
AGT,Gene,P01019,P01019
ITPR1,Gene,Q14643,Q14643
ADCY4,Gene,Q8NFM4,Q8NFM4
PPP2R1B,Gene,P30154,P30154
PIK3R1,Gene,P27986,P27986
PDE2A,Gene,,
PNOC,Gene,Q13519,Q13519
RGS10,Gene,O43665,O43665
OXTR,Gene,P30559,P30559
JAK2,Gene,O60674,O60674
GNG10,Gene,P50151,P50151
RRH,Gene,O14718,O14718
CCR6,Gene,P51684,P51684
GAST,Gene,P01350,P01350
CXCL10,Gene,P02778,P02778
GRM8,Gene,O00222,O00222
CCR1,Gene,P32246,P32246
TRIM34,Gene,Q9BYJ4,Q9BYJ4
RGS13,Gene,O14921,O14921
P2RY14,Gene,Q15391,Q15391
OAS2,Gene,P29728,P29728
SSTR4,Gene,P31391,P31391
NPB,Gene,Q8NG41,Q8NG41
GNB5,Gene,O14775,O14775
CYP2C19,Gene,,
HLA-DRB4,Gene,P13762,P13762
CYP2C9,Gene,,
NMUR2,Gene,Q9GZQ4,Q9GZQ4
P2RY6,Gene,Q15077,Q15077
GRM5,Gene,P41594,P41594
GPR68,Gene,Q15743,Q15743
PRKCH,Gene,P24723,P24723
MAPK1,Gene,P28482,P28482
PPP2R5D,Gene,Q14738,Q14738
CHEK2,Gene,,
NMU,Gene,P48645,P48645
TRIM14,Gene,Q14142,Q14142
PPP3CB,Gene,P16298,P16298
RPS6KA3,Gene,P51812,P51812
ADORA3,Gene,P0DMS8,P0DMS8
RGS11,Gene,O94810,O94810
NPY,Gene,P01303,P01303
IDO1,Gene,,
SUCNR1,Gene,Q9BXA5,Q9BXA5
PRKCQ,Gene,Q04759,Q04759
CXCR4,Gene,P61073,P61073
TRIM35,Gene,Q9UPQ4,Q9UPQ4
CASR,Gene,P41180,P41180
PRKACB,Gene,P22694,P22694
KLK1,Gene,,
NTSR2,Gene,O95665,O95665
PLCB1,Gene,Q9NQ66,Q9NQ66
PTAFR,Gene,P25105,P25105
DOT1L,Gene,,
RALOXIFENO,drug,,
GNG11,Gene,P61952,P61952
ATR,Gene,,
TYK2,Gene,,
PSAP,Gene,P07602,P07602
PDE1B,Gene,Q01064,Q01064
PTGS1,Gene,,
TAS2R20,Gene,P59543,P59543
YBX1,Gene,P67809,P67809
RGS20,Gene,O76081,O76081
HLA-G,Gene,P17693,P17693
CXCR5,Gene,P32302,P32302
DGKD,Gene,Q16760,Q16760
IFNGR2,Gene,P38484,P38484
BRS3,Gene,P32247,P32247
TAS2R8,Gene,Q9NYW2,Q9NYW2
DRD4,Gene,P21917,P21917
HTR5A,Gene,P47898,P47898
DGKI,Gene,O75912,O75912
XCL2,Gene,Q9UBD3,Q9UBD3
CXCR6,Gene,O00574,O00574
EDN3,Gene,P14138,P14138
HLA-DRB3,Gene,P79483,P79483
ESR2,Gene,,
SLC6A4,Gene,,
IRF3,Gene,Q14653,Q14653
TRIM31,Gene,Q9BZY9,Q9BZY9
KISS1,Gene,Q15726,Q15726
CACNA1H,Gene,,
P2RY1,Gene,P47900,P47900
KDM1A,Gene,,
PTPN1,Gene,P18031,P18031
GNB4,Gene,Q9HAV0,Q9HAV0
RGS5,Gene,O15539,O15539
TRIM5,Gene,Q9C035,Q9C035
GSK3B,Gene,,
S1PR3,Gene,Q99500,Q99500
FFAR1,Gene,O14842,O14842
SLC6A2,Gene,,
HRH1,Gene,P35367,P35367
BCHE,Gene,,
NPFF,Gene,O15130,O15130
IRF6,Gene,O14896,O14896
RGS4,Gene,P49798,P49798
GBP3,Gene,Q9H0R5,Q9H0R5
MMP3,Gene,P08254,P08254
PTGER1,Gene,P34995,P34995
GRM7,Gene,Q14831,Q14831
CXCL13,Gene,O43927,O43927
PPARA,Gene,,
OPN5,Gene,Q6U736,Q6U736
CNR1,Gene,P21554,P21554
DGKG,Gene,P49619,P49619
G ALPHA (Q) SIGNALLING EVENTS (HOMO SAPIENS),pathway,,
GBP4,Gene,Q96PP9,Q96PP9
TRIM2,Gene,Q9C040,Q9C040
TRIM3,Gene,O75382,O75382
AVP,Gene,P01185,P01185
CALM1,Gene,P0DP23,P0DP23
ACE,Gene,,
JAK3,Gene,,
IFNG,Gene,P01579,P01579
HTR2A,Gene,P28223,P28223
DAGLB,Gene,Q8NCG7,Q8NCG7
S1PR5,Gene,Q9H228,Q9H228
CCR5,Gene,P51681,P51681
KNG1,Gene,P01042,P01042
APLNR,Gene,P35414,P35414
TACR3,Gene,P29371,P29371
CXCL12,Gene,P48061,P48061
RGS21,Gene,Q2M5E4,Q2M5E4
ADORA1,Gene,P30542,P30542
PPP1R1B,Gene,Q9UD71,Q9UD71
PF4,Gene,P02776,P02776
PPP3R1,Gene,P63098,P63098
EDN1,Gene,P05305,P05305
