id,type,UniprotID,Entrez_ID
TAS2R30,Gene,P59541,P59541
GRP,Gene,P07492,P07492
CXCR3,Gene,P49682,P49682
TAS2R1,Gene,Q9NYW7,Q9NYW7
CCL4L1,Gene,Q8NHW4,Q8NHW4
AGT,Gene,P01019,P01019
GPR132,Gene,Q9UNW8,Q9UNW8
PTGES3,Gene,Q15185,Q15185
MLN,Gene,P12872,P12872
EGF,Gene,P01133,P01133
LPAR5,Gene,Q9H1C0,Q9H1C0
IFNGR2,Gene,P38484,P38484
PPP1R1B,Gene,Q9UD71,Q9UD71
HTR2C,Gene,P28335,P28335
CHRM4,Gene,P08173,P08173
GTF2A2,Gene,P52657,P52657
GCGR,Gene,P47871,P47871
LPAR6,Gene,P43657,P43657
GHRL,Gene,Q9UBU3-1,Q9UBU3-1
STAG1,Gene,Q8WVM7,Q8WVM7
PRKCG,Gene,P05129,P05129
TACR1,Gene,P25103,P25103
ESR1,Gene,P03372,P03372
ESR1,Gene,P03372-4,P03372-4
ESR1,Gene,P03372-3,P03372-3
MGLL,Gene,Q99685,Q99685
EBAG9,Gene,O00559,O00559
OPN1LW,Gene,P04000,P04000
CAV2,Gene,P51636,P51636
KANK1,Gene,Q14678,Q14678
LPAR2,Gene,Q9HBW0,Q9HBW0
IFNGR1,Gene,P15260,P15260
OXER1,Gene,Q8TDS5,Q8TDS5
RGSL1,Gene,A5PLK6,A5PLK6
RGS12,Gene,O14924,O14924
ADORA1,Gene,P30542,P30542
BCHE,Gene,,
GBP6,Gene,Q6ZN66,Q6ZN66
ADCY5,Gene,O95622,O95622
MAOA,Gene,,
HLA-DQB2,Gene,P05538,P05538
CXCL16,Gene,Q9H2A7,Q9H2A7
UHMK1,Gene,Q8TAS1,Q8TAS1
OAS1,Gene,P00973,P00973
PGR,Gene,P06401,P06401
GNB2,Gene,P62879,P62879
POLR2L,Gene,P62875,P62875
GNG13,Gene,Q9P2W3,Q9P2W3
ATF2,Gene,P15336,P15336
RAF1,Gene,P04049,P04049
AHCYL1,Gene,O43865,O43865
UTS2R,Gene,Q9UKP6,Q9UKP6
TAS2R60,Gene,P59551,P59551
NPBWR1,Gene,P48145,P48145
HLA-DQA1,Gene,P01909,P01909
AXIN1,Gene,O15169,O15169
TACR3,Gene,P29371,P29371
PLK1,Gene,,
CXCL1,Gene,P09341,P09341
TBP,Gene,P20226,P20226
HLA-DQA2,Gene,P01906,P01906
POLR2K,Gene,P53803,P53803
UTS2B,Gene,Q765I0,Q765I0
GRK2,Gene,P25098,P25098
SSTR3,Gene,P32745,P32745
GRM4,Gene,Q14833,Q14833
H2BC12,Gene,O60814,O60814
NTSR2,Gene,O95665,O95665
PIK3CG,Gene,,
BTC,Gene,P35070,P35070
CCL5,Gene,P13501,P13501
PRKDC,Gene,,
CNR1,Gene,P21554,P21554
LPAR1,Gene,Q92633,Q92633
GNAS,Gene,Q5JWF2,Q5JWF2
GNAS,Gene,P63092,P63092
H2AJ,Gene,Q9BTM1,Q9BTM1
F2RL3,Gene,Q96RI0,Q96RI0
TNRC6B,Gene,Q9UPQ9,Q9UPQ9
MMP2,Gene,P08253,P08253
RGS22,Gene,Q8NE09,Q8NE09
H2AC6,Gene,Q93077,Q93077
HRH1,Gene,P35367,P35367
PIK3R1,Gene,P27986,P27986
SP100,Gene,P23497,P23497
RGS13,Gene,O14921,O14921
CREB1,Gene,P16220-1,P16220-1
HSP90AA1,Gene,P07900,P07900
GNAT2,Gene,P19087,P19087
GBP7,Gene,Q8N8V2,Q8N8V2
ADRA2C,Gene,P18825,P18825
GBP3,Gene,Q9H0R5,Q9H0R5
RGS9,Gene,O75916,O75916
CA1,Gene,,
P2RY6,Gene,Q15077,Q15077
CCL25,Gene,O15444,O15444
ADCY2,Gene,Q08462,Q08462
PLAU,Gene,,
TAS1R3,Gene,Q7RTX0,Q7RTX0
P2RY13,Gene,Q9BPV8,Q9BPV8
GRM3,Gene,Q14832,Q14832
PDE3A,Gene,,
TAS2R14,Gene,Q9NYV8,Q9NYV8
HTR1B,Gene,P28222,P28222
TNRC6C,Gene,Q9HCJ0,Q9HCJ0
YBX1,Gene,P67809,P67809
PDE10A,Gene,,
TRIM46,Gene,Q7Z4K8,Q7Z4K8
ADCY4,Gene,Q8NFM4,Q8NFM4
HLA-DRB4,Gene,P13762,P13762
CDK5,Gene,Q00535,Q00535
ABL1,Gene,,
HLA-H,Gene,P01893,P01893
B2M,Gene,P61769,P61769
AKT3,Gene,Q9Y243,Q9Y243
MAPK14,Gene,,
FPR2,Gene,P25090,P25090
CXCL10,Gene,P02778,P02778
CCL19,Gene,Q99731,Q99731
GSK3A,Gene,,
SLC6A3,Gene,,
ABHD6,Gene,Q9BV23,Q9BV23
ANXA1,Gene,P04083,P04083
JUN,Gene,P05412,P05412
CXCR2,Gene,P25025,P25025
CXXC5,Gene,Q7LFL8,Q7LFL8
CCL13,Gene,Q99616,Q99616
CCL1,Gene,P22362,P22362
PPP2CB,Gene,P62714,P62714
TAS2R41,Gene,P59536,P59536
CXCL5,Gene,P42830,P42830
MCHR2,Gene,Q969V1,Q969V1
H2AC14,Gene,Q99878,Q99878
GHSR,Gene,Q92847,Q92847
MAPK3,Gene,P27361,P27361
TAS2R39,Gene,P59534,P59534
OAS2,Gene,P29728,P29728
TRIM22,Gene,Q8IYM9,Q8IYM9
GNGT2,Gene,O14610,O14610
PIK3R3,Gene,Q92569,Q92569
RGS6,Gene,P49758,P49758
IGF1R,Gene,P08069,P08069
TAS2R13,Gene,Q9NYV9,Q9NYV9
AVPR1B,Gene,P47901,P47901
GRM2,Gene,Q14416,Q14416
GALR3,Gene,O60755,O60755
FFAR4,Gene,Q5NUL3,Q5NUL3
IFI30,Gene,P13284,P13284
AXL,Gene,,
GBP1,Gene,P32455,P32455
NTRK1,Gene,,
HCAR1,Gene,Q9BXC0,Q9BXC0
GNG2,Gene,P59768,P59768
BRD4,Gene,,
MTOR,Gene,,
TNRC6A,Gene,Q8NDV7,Q8NDV7
NMS,Gene,Q5H8A3,Q5H8A3
FPR1,Gene,P21462,P21462
GALR1,Gene,P47211,P47211
SMAD7,Gene,O15105,O15105
NRIP1,Gene,P48552,P48552
OPRK1,Gene,P41145,P41145
PLCB1,Gene,Q9NQ66,Q9NQ66
CCND1,Gene,P24385,P24385
PPP2R5D,Gene,Q14738,Q14738
GABBR1,Gene,Q9UBS5,Q9UBS5
CXCL8,Gene,P10145,P10145
TRIM8,Gene,Q9BZR9,Q9BZR9
PPP5C,Gene,P53041,P53041
HLA-E,Gene,P13747,P13747
GNRH1,Gene,P01148,P01148
P2RY11,Gene,Q96G91,Q96G91
AURKA,Gene,,
NPFF,Gene,O15130,O15130
GAST,Gene,P01350,P01350
CCL16,Gene,O15467,O15467
H2AC20,Gene,Q16777,Q16777
F10,Gene,,
SLC6A2,Gene,,
HTR1D,Gene,P28221,P28221
CCNT1,Gene,O60563,O60563
RHO,Gene,P08100,P08100
MMP3,Gene,P08254,P08254
RGS1,Gene,Q08116,Q08116
GPSM2,Gene,P81274,P81274
CCL27,Gene,Q9Y4X3,Q9Y4X3
RPS6KA3,Gene,P51812,P51812
NMB,Gene,P08949,P08949
SSTR5,Gene,P35346,P35346
POLR2A,Gene,P24928,P24928
S1PR2,Gene,O95136,O95136
LPAR3,Gene,Q9UBY5,Q9UBY5
GPR68,Gene,Q15743,Q15743
TRIM29,Gene,Q14134,Q14134
HLA-DPA1,Gene,P20036,P20036
STAG2,Gene,Q8N3U4,Q8N3U4
NBEA,Gene,Q8NFP9,Q8NFP9
PDE4A,Gene,P27815,P27815
XCL2,Gene,Q9UBD3,Q9UBD3
DDX5,Gene,P17844,P17844
NPB,Gene,Q8NG41,Q8NG41
PPY,Gene,P01298,P01298
OPRM1,Gene,P35372,P35372
CAMK2G,Gene,Q13555,Q13555
TRH,Gene,P20396,P20396
POLR2D,Gene,O15514,O15514
H3-3A,Gene,P84243,P84243
RGS21,Gene,Q2M5E4,Q2M5E4
ADORA2A,Gene,,
C5AR1,Gene,P21730,P21730
OXT,Gene,P01178,P01178
AGO3,Gene,Q9H9G7,Q9H9G7
RASGRP1,Gene,O95267,O95267
OPN1SW,Gene,P03999,P03999
H2AZ2,Gene,Q71UI9,Q71UI9
CALM1,Gene,P0DP23,P0DP23
TAC1,Gene,P20366,P20366
GPR143,Gene,P51810,P51810
SHC1,Gene,P29353-2,P29353-2
SHC1,Gene,P29353-1,P29353-1
SHC1,Gene,P29353-3,P29353-3
ATR,Gene,,
GPR37L1,Gene,O60883,O60883
P2RY2,Gene,P41231,P41231
ITPR3,Gene,Q14573,Q14573
TAS2R45,Gene,P59539,P59539
H2BC13,Gene,Q99880,Q99880
PTPN2,Gene,P17706-2,P17706-2
MAPK1,Gene,P28482,P28482
PDE1A,Gene,P54750,P54750
IRF9,Gene,Q00978,Q00978
EREG,Gene,O14944,O14944
PROKR2,Gene,Q8NFJ6,Q8NFJ6
PDYN,Gene,P01213,P01213
H2BC5,Gene,P58876,P58876
NPY5R,Gene,Q15761,Q15761
CSNK2A1,Gene,,
H2BC21,Gene,Q16778,Q16778
GNAT3,Gene,A8MTJ3,A8MTJ3
P2RY10,Gene,O00398,O00398
TAS2R20,Gene,P59543,P59543
PTGFR,Gene,P43088,P43088
EDNRA,Gene,P25101,P25101
H2AC4,Gene,P04908,P04908
NTS,Gene,P30990,P30990
AGO4,Gene,Q9HCK5,Q9HCK5
TRIM48,Gene,Q8IWZ4,Q8IWZ4
H3C15,Gene,Q71DI3,Q71DI3
CACNA1H,Gene,,
HTR5A,Gene,P47898,P47898
IRF5,Gene,Q13568,Q13568
PPP3CC,Gene,P48454,P48454
CCR2,Gene,P41597,P41597
NMU,Gene,P48645,P48645
DGKB,Gene,Q9Y6T7,Q9Y6T7
AGTR1,Gene,P30556,P30556
FOXA1,Gene,P55317,P55317
AGO2,Gene,Q9UKV8,Q9UKV8
PRKCI,Gene,,
CBFB,Gene,Q13951,Q13951
C5,Gene,P01031,P01031
GNAT1,Gene,P11488,P11488
POLR2J,Gene,P52435,P52435
POLR2F,Gene,P61218,P61218
SPHK1,Gene,Q9NYA1,Q9NYA1
RGS11,Gene,O94810,O94810
ZDHHC21,Gene,Q8IVQ6,Q8IVQ6
PTK2,Gene,Q05397,Q05397
TRIM62,Gene,Q9BVG3,Q9BVG3
NPSR1,Gene,Q6W5P4,Q6W5P4
ALOX5,Gene,,
RXFP3,Gene,Q9NSD7,Q9NSD7
HLA-B,Gene,P01889,P01889
HCAR2,Gene,Q8TDS4,Q8TDS4
RASGRP2,Gene,Q7LDG7,Q7LDG7
NPFFR2,Gene,Q9Y5X5,Q9Y5X5
GPR17,Gene,Q13304,Q13304
CAMK2A,Gene,Q9UQM7,Q9UQM7
MYB,Gene,P10242,P10242
DGKG,Gene,P49619,P49619
PPID,Gene,Q08752,Q08752
RALOXIFENO,drug,,
IRF8,Gene,Q02556,Q02556
CCL23,Gene,P55773-2,P55773-2
SMC3,Gene,Q9UQE7,Q9UQE7
EDNRB,Gene,P24530,P24530
KISS1,Gene,Q15726,Q15726
CYP2C9,Gene,,
PRKAR1A,Gene,P10644,P10644
TRIM10,Gene,Q9UDY6,Q9UDY6
EDN2,Gene,P20800,P20800
AVPR1A,Gene,P37288,P37288
GNB3,Gene,P16520,P16520
H3C1,Gene,P68431,P68431
NPBWR2,Gene,P48146,P48146
OPN4,Gene,Q9UHM6,Q9UHM6
PDE7A,Gene,,
PIK3CA,Gene,P42336,P42336
F7,Gene,,
PTPN6,Gene,P29350,P29350
ACE,Gene,,
IFNG,Gene,P01579,P01579
MTNR1A,Gene,P48039,P48039
JAK2,Gene,O60674,O60674
ALK,Gene,,
GNG7,Gene,O60262,O60262
CAV1,Gene,Q03135,Q03135
IRF7,Gene,Q92985,Q92985
TRIM38,Gene,O00635,O00635
GTF2A1,Gene,P52655,P52655
CHRM3,Gene,P20309,P20309
CCL28,Gene,Q9NRJ3,Q9NRJ3
GNA11,Gene,P29992,P29992
IRF3,Gene,Q14653,Q14653
HLA-G,Gene,P17693,P17693
HLA-DQB1,Gene,P01920,P01920
PDE5A,Gene,,
C3AR1,Gene,Q16581,Q16581
AKT1,Gene,P31749,P31749
PRKAR2A,Gene,P13861,P13861
CYP11B1,Gene,,
DGKA,Gene,P23743,P23743
YY1,Gene,P25490,P25490
DRD3,Gene,P35462,P35462
H2BC17,Gene,P23527,P23527
SOCS1,Gene,O15524,O15524
USF1,Gene,P22415,P22415
TRIM31,Gene,Q9BZY9,Q9BZY9
ATG4B,Gene,,
GNB5,Gene,O14775,O14775
RGS20,Gene,O76081,O76081
TBXA2R,Gene,P21731,P21731
ICAM1,Gene,P05362,P05362
NPY1R,Gene,P25929,P25929
PYY,Gene,P10082,P10082
CAMK2D,Gene,Q13557,Q13557
MLNR,Gene,O43193,O43193
AOC3,Gene,,
CCR3,Gene,P51677,P51677
BRS3,Gene,P32247,P32247
CXCR5,Gene,P32302,P32302
PRKACA,Gene,P17612,P17612
STRN,Gene,O43815,O43815
CXCL11,Gene,O14625,O14625
GPR4,Gene,P46093,P46093
PLCB3,Gene,Q01970,Q01970
CCKAR,Gene,P32238,P32238
GNG4,Gene,P50150,P50150
NPW,Gene,Q8N729,Q8N729
POLR2I,Gene,P36954,P36954
FOXO3,Gene,O43524,O43524
GPER1,Gene,Q99527,Q99527
GBP4,Gene,Q96PP9,Q96PP9
GPR183,Gene,P32249,P32249
HTR1F,Gene,P30939,P30939
HBEGF,Gene,Q99075,Q99075
OPRL1,Gene,P41146,P41146
PSAP,Gene,P07602,P07602
DOT1L,Gene,,
PDE4B,Gene,Q07343-3,Q07343-3
GPR65,Gene,Q8IYL9,Q8IYL9
ADCY9,Gene,O60503,O60503
KRAS,Gene,P01116-2,P01116-2
KRAS,Gene,P01116-1,P01116-1
PMCH,Gene,P20382,P20382
ARHGEF25,Gene,Q86VW2,Q86VW2
GNAZ,Gene,P19086,P19086
NCAM1,Gene,P13591,P13591
POLR2E,Gene,P19388,P19388
ELK1,Gene,P19419,P19419
H2AX,Gene,P16104,P16104
SRF,Gene,P11831,P11831
TACR2,Gene,P21452,P21452
FPR3,Gene,P25089,P25089
RPS6KA2,Gene,Q15349,Q15349
GNAI2,Gene,P04899,P04899
CHRM5,Gene,P08912,P08912
GATA3,Gene,P23771,P23771
PROK1,Gene,P58294,P58294
GRM1,Gene,Q13255,Q13255
RGS8,Gene,P57771,P57771
PDE4C,Gene,Q08493,Q08493
OXGR1,Gene,Q96P68,Q96P68
PRKAR2B,Gene,P31323,P31323
CDK9,Gene,P50750,P50750
BDKRB2,Gene,P30411,P30411
GTF2F1,Gene,P35269,P35269
H2BC1,Gene,Q96A08,Q96A08
HDAC1,Gene,Q13547,Q13547
PTAFR,Gene,P25105,P25105
CHEK2,Gene,,
EP300,Gene,Q09472,Q09472
XCL1,Gene,P47992,P47992
H2AC7,Gene,P20671,P20671
ADCY3,Gene,O60266,O60266
TRIM3,Gene,O75382,O75382
GPR31,Gene,O00270,O00270
CHD1,Gene,O14646,O14646
DGKQ,Gene,P52824,P52824
PAK1,Gene,,
TRIM26,Gene,Q12899,Q12899
APP,Gene,P05067,P05067
IRF2,Gene,P14316,P14316
PRKCZ,Gene,Q05513,Q05513
CXCL9,Gene,Q07325,Q07325
PRKACB,Gene,P22694,P22694
RORC,Gene,,
POLR2B,Gene,P30876,P30876
NCOA1,Gene,Q15788,Q15788
FFAR1,Gene,O14842,O14842
HLA-DRB5,Gene,Q30154,Q30154
HRH4,Gene,Q9H3N8,Q9H3N8
HLA-DRB3,Gene,P79483,P79483
TRIM5,Gene,Q9C035,Q9C035
POU2F1,Gene,P14859,P14859
ADCY1,Gene,Q08828,Q08828
GRM6,Gene,O15303,O15303
XPO1,Gene,O14980,O14980
PRKCH,Gene,P24723,P24723
BTK,Gene,Q06187,Q06187
ADRA1A,Gene,P35348,P35348
GNG11,Gene,P61952,P61952
PLCB4,Gene,Q15147,Q15147
FFAR2,Gene,O15552,O15552
RGS4,Gene,P49798,P49798
H2AB1,Gene,P0C5Y9,P0C5Y9
CHRM1,Gene,P11229,P11229
TRIM68,Gene,Q6AZZ1,Q6AZZ1
ADRA1B,Gene,P35368,P35368
APLN,Gene,Q9ULZ1,Q9ULZ1
SSTR1,Gene,P30872,P30872
PIK3R2,Gene,O00459,O00459
TRIM34,Gene,Q9BYJ4,Q9BYJ4
NOS3,Gene,P29474,P29474
PTGER1,Gene,P34995,P34995
CXCL13,Gene,O43927,O43927
CHRNA7,Gene,,
PTPN11,Gene,Q06124,Q06124
NEK2,Gene,,
CCR7,Gene,P32248,P32248
RGS14,Gene,O43566,O43566
PPBP,Gene,P02775,P02775
PDE1C,Gene,Q14123,Q14123
NPS,Gene,P0C0P6,P0C0P6
KALRN,Gene,O60229,O60229
MET,Gene,,
MOV10,Gene,Q9HCE1,Q9HCE1
TAS1R1,Gene,Q7RTX1,Q7RTX1
EGFR,Gene,P00533,P00533
HLA-A,Gene,P04439,P04439
TRIM25,Gene,Q14258,Q14258
MID1,Gene,O15344,O15344
PRKCA,Gene,P17252,P17252
GPAM,Gene,Q9HCL2,Q9HCL2
SMC1A,Gene,Q14683,Q14683
GBP2,Gene,P32456,P32456
TRIM2,Gene,Q9C040,Q9C040
HCRTR2,Gene,O43614,O43614
RGS19,Gene,P49795,P49795
OXTR,Gene,P30559,P30559
NR5A2,Gene,O00482,O00482
GPR55,Gene,Q9Y2T6,Q9Y2T6
TRIM6,Gene,Q9C030,Q9C030
IRF1,Gene,P10914,P10914
RGS16,Gene,O15492,O15492
PPP3CB,Gene,P16298,P16298
VCAM1,Gene,P19320,P19320
FOS,Gene,P01100,P01100
