source,target
RGS7,1
RGS8,1
RGS9,1
RGS20,1
RGS22,1
GNAL,1
AHCYL1,1
PLA2G4A,1
CALM1,1
PRKCG,1
PDE1C,1
NBEA,1
PRKX,1
CAMK2G,1
CAMK2D,1
CAMK2B,1
CAMK2A,1
KPNA2,1
CAMK4,1
CAMKK2,1
CAMKK1,1
PPP1R1B,1
PPP1CA,1
PPP3CB,1
PPP3CA,1
PPP3CC,1
PDE4B,1
PPP3R1,1
CDK5,1
PPP2R1A,1
PPP2R1B,1
PPP2CA,1
PPP2CB,1
PPP2R5D,1
PCP2,1
GPSM2,1
GPSM3,1
GPSM1,1
PRKCB,1
STAT2,2
STAT1,2
STAT1,2
IRF9,2
IFNAR2,2
USP18,2
PTPN1,2
IFNA16,2
IFNA1,2
IFNA21,2
IFNA4,2
IFNA7,2
IFNA8,2
IFNA10,2
IFNA5,2
IFNA2,2
IFNA14,2
IFNA17,2
IFNA6,2
IFNB1,2
JAK1,2
IFNAR1,2
TYK2,2
PTPN11,2
SOCS1,2
SOCS3,2
PTPN6,2
KPNA1,2
UBC,2
UBB,2
UBA52,2
RPS27A,2
EIF2AK2,2
ISG20,2
GBP2,2
IFIT2,2
IFIT1,2
ADAR,2
IFI27,2
IFIT3,2
IFIT5,2
IFI35,2
ISG15,2
IFITM1,2
OAS1,2
OASL,2
OAS2,2
OAS3,2
EGR1,2
SAMHD1,2
RSAD2,2
BST2,2
IFI6,2
XAF1,2
IFITM2,2
RNASEL,2
IP6K2,2
IFITM3,2
HLA-A,2
HLA-H,2
HLA-G,2
HLA-F,2
HLA-C,2
HLA-E,2
HLA-B,2
MX2,2
MX1,2
PSMB8,2
IRF4,2
IRF5,2
IRF1,2
IRF3,2
IRF6,2
IRF8,2
IRF2,2
IRF7,2
KPNB1,2
STAT1,2
N,2
ABCE1,2
CAMK2B,3
CAMK2A,3
CAMK2D,3
CAMK2G,3
PRKCD,3
STAT1,3
IFNG,3
JAK1,3
IFNGR1,3
JAK2,3
IFNGR2,3
PTPN6,3
SOCS1,3
SOCS3,3
YBX1,3
PTPN11,3
PTPN1,3
PTPN2,3
SUMO1,3
PIAS1,3
GBP6,3
GBP5,3
GBP4,3
GBP7,3
GBP3,3
GBP2,3
GBP1,3
IRF4,3
IRF9,3
IRF5,3
IRF1,3
IRF3,3
IRF6,3
IRF8,3
IRF2,3
IRF7,3
FCGR1A,3
FCGR1BP,3
HLA-A,3
HLA-H,3
HLA-G,3
HLA-F,3
HLA-C,3
HLA-E,3
HLA-B,3
HLA-DPA1,3
HLA-DQA1,3
HLA-DRA,3
HLA-DQA2,3
HLA-DQB2,3
HLA-DPB1,3
HLA-DQB1,3
HLA-DRB5,3
HLA-DRB3,3
HLA-DRB4,3
HLA-DRB1,3
ICAM1,3
CD44,3
VCAM1,3
NCAM1,3
TRIM10,3
TRIM29,3
TRIM46,3
TRIM35,3
TRIM48,3
TRIM2,3
TRIM14,3
TRIM45,3
TRIM17,3
TRIM3,3
TRIM6,3
TRIM62,3
TRIM5,3
TRIM25,3
TRIM68,3
TRIM31,3
TRIM26,3
PML,3
MID1,3
TRIM22,3
TRIM34,3
TRIM8,3
TRIM21,3
MT2A,3
SP100,3
PTAFR,3
IFI30,3
B2M,3
CIITA,3
OAS1,3
OASL,3
OAS2,3
OAS3,3
MAPK3,3
MAPK1,3
SMAD7,3
RAF1,3
RET,ac zoledronico
ATM,ac zoledronico
MGLL,ac zoledronico
FDPS,ac zoledronico
CSNK2A1,ac zoledronico
PLAU,ac zoledronico
PRKCZ,ac zoledronico
DRD2,ac zoledronico
TYK2,ac zoledronico
CHEK2,ac zoledronico
MET,ac zoledronico
CTSD,ac zoledronico
MAPK3,ac zoledronico
PPARD,ac zoledronico
GSK3A,ac zoledronico
IDH1,ac zoledronico
CACNA1G,ac zoledronico
TYR,ac zoledronico
MAPK1,ac zoledronico
PRKDC,ac zoledronico
EGFR,ac zoledronico
DHODH,ac zoledronico
NTRK1,ac zoledronico
PLK1,ac zoledronico
NEK2,ac zoledronico
PPARA,ac zoledronico
GGPS1,ac zoledronico
AKT2,ac zoledronico
PTK2,ac zoledronico
PAK1,ac zoledronico
PDE10A,ac zoledronico
CA1,ac zoledronico
SLC6A3,ac zoledronico
JAK1,ac zoledronico
ALK,ac zoledronico
OPRM1,ac zoledronico
PTPN11,ac zoledronico
PDE2A,ac zoledronico
DYRK1A,ac zoledronico
PDE7A,ac zoledronico
DOT1L,ac zoledronico
PDE3A,ac zoledronico
EPHX2,ac zoledronico
RPS6KA3,ac zoledronico
AR,ac zoledronico
HSP90AA1,ac zoledronico
PRKCI,ac zoledronico
FLT3,ac zoledronico
KLK1,ac zoledronico
ACE,ac zoledronico
AXL,ac zoledronico
CHRNA7,ac zoledronico
CYP11B1,ac zoledronico
IDO1,ac zoledronico
AOC3,ac zoledronico
SLC6A2,ac zoledronico
PIK3CD,ac zoledronico
ATR,ac zoledronico
CACNA1H,ac zoledronico
