MoleculeType	Identifier	MoleculeName	
Proteins	P46934	UniProt:P46934 NEDD4	
Proteins	P01133	UniProt:P01133 EGF	
Proteins	P00533	UniProt:P00533 EGFR	
Proteins	P21860-1	UniProt:P21860-1 ERBB3	
Proteins	Q02297-10	UniProt:Q02297-10 NRG1	
Proteins	P78352	UniProt:P78352 DLG4	
Proteins	P46937	UniProt:P46937 YAP1	
Proteins	P42229	UniProt:P42229 STAT5A	
Proteins	O75689	UniProt:O75689 ADAP1	
Proteins	Q14582	UniProt:Q14582 MXD4	
Proteins	P03372	UniProt:P03372 ESR1	
Proteins	P06401	UniProt:P06401 PGR	
Proteins	P09486	UniProt:P09486 SPARC	
Proteins	P48061	UniProt:P48061 CXCL12	
Proteins	Q9NYJ8	UniProt:Q9NYJ8 TAB2	
Proteins	O75376	UniProt:O75376 NCOR1	
Proteins	P14136	UniProt:P14136 GFAP	
Proteins	P16949	UniProt:P16949 STMN1	
Proteins	Q9NZ42	UniProt:Q9NZ42 PSENEN	
Proteins	Q92542	UniProt:Q92542 NCSTN	
Proteins	P49810	UniProt:P49810 PSEN2	
Proteins	P49768	UniProt:P49768 PSEN1	
Proteins	Q96BI3	UniProt:Q96BI3 APH1A	
Proteins	Q8WW43	UniProt:Q8WW43 APH1B	
Proteins	Q9NZC7	UniProt:Q9NZC7 WWOX	
Proteins	P04271	UniProt:P04271 S100B	
Proteins	P78536	UniProt:P78536 ADAM17	
Proteins	P02649	UniProt:P02649 APOE	
Proteins	P05814	UniProt:P05814 CSN2	
Proteins	O43915	UniProt:O43915 VEGFD	
Proteins	P49765	UniProt:P49765 VEGFB	
Proteins	P15692	UniProt:P15692 VEGFA	
Proteins	P49767	UniProt:P49767 VEGFC	
Proteins	P49763	UniProt:P49763 PGF	
Proteins	P35968	UniProt:P35968 KDR	
Proteins	P17948	UniProt:P17948 FLT1	
Proteins	P35916	UniProt:P35916 FLT4	
Proteins	Q13685	UniProt:Q13685 AAMP	
Proteins	P15692-4	UniProt:P15692-4 VEGFA	
Proteins	Q9NP31	UniProt:Q9NP31 SH2D2A	
Proteins	P06756	UniProt:P06756 ITGAV	
Proteins	P05106	UniProt:P05106 ITGB3	
Proteins	Q14289	UniProt:Q14289 PTK2B	
Proteins	P07900	UniProt:P07900 HSP90AA1	
Proteins	Q05397	UniProt:Q05397 PTK2	
Proteins	Q15464	UniProt:Q15464 SHB	
Proteins	P17612	UniProt:P17612 PRKACA	
Proteins	P22694	UniProt:P22694 PRKACB	
Proteins	P22612	UniProt:P22612 PRKACG	
Proteins	P16333	UniProt:P16333 NCK1	
Proteins	O43639	UniProt:O43639 NCK2	
Proteins	P06241	UniProt:P06241 FYN	
Proteins	P56945	UniProt:P56945 BCAR1	
Proteins	Q13177	UniProt:Q13177 PAK2	
Proteins	P60953	UniProt:P60953 CDC42	
Proteins	P49023	UniProt:P49023 PXN	
Proteins	Q92556	UniProt:Q92556 ELMO1	
Proteins	Q96JJ3	UniProt:Q96JJ3 ELMO2	
Proteins	Q14185	UniProt:Q14185 DOCK1	
