source,target
CYTOKINE SIGNALING,SMAD3
CYTOKINE SIGNALING,PTPN12
CYTOKINE SIGNALING,PTPN9
CYTOKINE SIGNALING,PTPN5
CYTOKINE SIGNALING,PTPN18
CYTOKINE SIGNALING,PTPN2
CYTOKINE SIGNALING,PTPN20
CYTOKINE SIGNALING,PTPN4
CYTOKINE SIGNALING,PTPN23
CYTOKINE SIGNALING,PTPN7
CYTOKINE SIGNALING,PTPN13
CYTOKINE SIGNALING,PTPN14
CYTOKINE SIGNALING,IL33
CYTOKINE SIGNALING,IL1RL1
CYTOKINE SIGNALING,STAT6
CYTOKINE SIGNALING,IL4R
CYTOKINE SIGNALING,IRF4
CYTOKINE SIGNALING,HSP90AA1
CYTOKINE SIGNALING,CDKN1A
CYTOKINE SIGNALING,VIM
CYTOKINE SIGNALING,MCL1
CYTOKINE SIGNALING,RHOU
CYTOKINE SIGNALING,NOS2
CYTOKINE SIGNALING,FSCN1
CYTOKINE SIGNALING,AKT1
CYTOKINE SIGNALING,SOCS3
CYTOKINE SIGNALING,IL13RA1
CYTOKINE SIGNALING,SOCS1
CYTOKINE SIGNALING,SOCS5
CYTOKINE SIGNALING,CD36
CYTOKINE SIGNALING,CXCL8
CYTOKINE SIGNALING,CCL2
CYTOKINE SIGNALING,IL6
CYTOKINE SIGNALING,TNF
CYTOKINE SIGNALING,HMOX1
CYTOKINE SIGNALING,BATF
CYTOKINE SIGNALING,RORA
CYTOKINE SIGNALING,TWIST1
CYTOKINE SIGNALING,CEBPD
CYTOKINE SIGNALING,HIF1A
CYTOKINE SIGNALING,PIM1
CYTOKINE SIGNALING,FOXO1
CYTOKINE SIGNALING,RORC
CYTOKINE SIGNALING,SOX2
CYTOKINE SIGNALING,CCND1
CYTOKINE SIGNALING,FOXO3
CYTOKINE SIGNALING,JUNB
CYTOKINE SIGNALING,ZEB1
CYTOKINE SIGNALING,NANOG
CYTOKINE SIGNALING,BCL6
CYTOKINE SIGNALING,BIRC5
CYTOKINE SIGNALING,MYC
CYTOKINE SIGNALING,POU2F1
CYTOKINE SIGNALING,ALOX15
CYTOKINE SIGNALING,HSPA8
CYTOKINE SIGNALING,HSP90B1
CYTOKINE SIGNALING,MAOA
CYTOKINE SIGNALING,NDN
CYTOKINE SIGNALING,BCL2
CYTOKINE SIGNALING,BCL2L1
CYTOKINE SIGNALING,PTGS2
CYTOKINE SIGNALING,ICAM1
CYTOKINE SIGNALING,IL6R
CYTOKINE SIGNALING,TNFRSF1B
CYTOKINE SIGNALING,S1PR1
CYTOKINE SIGNALING,MUC1
CYTOKINE SIGNALING,FCER2
CYTOKINE SIGNALING,ITGAM
CYTOKINE SIGNALING,ITGB2
CYTOKINE SIGNALING,VCAM1
CYTOKINE SIGNALING,ITGB1
CYTOKINE SIGNALING,ITGAX
CYTOKINE SIGNALING,IGHE
CYTOKINE SIGNALING,IGHG4
CYTOKINE SIGNALING,IGHG1
CYTOKINE SIGNALING,CCL11
CYTOKINE SIGNALING,IL13RA2
CYTOKINE SIGNALING,FASLG
CYTOKINE SIGNALING,GATA3
CYTOKINE SIGNALING,LIF
CYTOKINE SIGNALING,TGFB1
CYTOKINE SIGNALING,MMP9
CYTOKINE SIGNALING,FGF2
CYTOKINE SIGNALING,TIMP1
CYTOKINE SIGNALING,VEGFA
CYTOKINE SIGNALING,OSM
CYTOKINE SIGNALING,MMP3
CYTOKINE SIGNALING,LCN2
CYTOKINE SIGNALING,HGF
CYTOKINE SIGNALING,MMP2
CYTOKINE SIGNALING,LBP
CYTOKINE SIGNALING,POMC
CYTOKINE SIGNALING,MMP1
CYTOKINE SIGNALING,OPRM1
CYTOKINE SIGNALING,OPRD1
CYTOKINE SIGNALING,FN1
CYTOKINE SIGNALING,LAMA5
CYTOKINE SIGNALING,COL1A2
CYTOKINE SIGNALING,F13A1
CYTOKINE SIGNALING,CCL22
CYTOKINE SIGNALING,ANXA1
CYTOKINE SIGNALING,IL22RA1
CYTOKINE SIGNALING,IL22
CYTOKINE SIGNALING,IL24
CYTOKINE SIGNALING,IL20RB
CYTOKINE SIGNALING,IL20RA
CYTOKINE SIGNALING,IL20
CYTOKINE SIGNALING,IFNL3
CYTOKINE SIGNALING,IFNL2
CYTOKINE SIGNALING,IL22RA2
CYTOKINE SIGNALING,STAT2
CYTOKINE SIGNALING,IL19
CYTOKINE SIGNALING,IL26
CYTOKINE SIGNALING,IL7R
CYTOKINE SIGNALING,IL7
CYTOKINE SIGNALING,CRLF2
CYTOKINE SIGNALING,TSLP
CYTOKINE SIGNALING,SOCS2
CYTOKINE SIGNALING,CISH
CYTOKINE SIGNALING,RAG2
CYTOKINE SIGNALING,RAG1
CYTOKINE SIGNALING,BRWD1
CYTOKINE SIGNALING,H3C1
CYTOKINE SIGNALING,H3C15
CYTOKINE SIGNALING,IRS1
CYTOKINE SIGNALING,IRS2
CYTOKINE SIGNALING,SMARCA4
CYTOKINE SIGNALING,LIFR
CYTOKINE SIGNALING,CNTFR
CYTOKINE SIGNALING,CLCF1
CYTOKINE SIGNALING,CNTF
CYTOKINE SIGNALING,IL11RA
CYTOKINE SIGNALING,IL11
CYTOKINE SIGNALING,OSMR
CYTOKINE SIGNALING,CTF1
CYTOKINE SIGNALING,IL31RA
CYTOKINE SIGNALING,IL31
CYTOKINE SIGNALING,IL21R
CYTOKINE SIGNALING,IL21
CYTOKINE SIGNALING,LCK
CYTOKINE SIGNALING,PTK2B
CYTOKINE SIGNALING,IL9R
CYTOKINE SIGNALING,IL9
CYTOKINE SIGNALING,IL15RA
CYTOKINE SIGNALING,IL15
CYTOKINE SIGNALING,SOS2
CYTOKINE SIGNALING,LGALS9
CYTOKINE SIGNALING,HAVCR2
CYTOKINE SIGNALING,IL10RA
CYTOKINE SIGNALING,CCL19
CYTOKINE SIGNALING,CCL20
CYTOKINE SIGNALING,CCL4
CYTOKINE SIGNALING,CCL5
CYTOKINE SIGNALING,CCL3L1
CYTOKINE SIGNALING,CCL3
CYTOKINE SIGNALING,CXCL2
CYTOKINE SIGNALING,CXCL1
CYTOKINE SIGNALING,CXCL10
CYTOKINE SIGNALING,CD86
CYTOKINE SIGNALING,CD80
CYTOKINE SIGNALING,TNFRSF1A
CYTOKINE SIGNALING,PTAFR
CYTOKINE SIGNALING,CCR1
CYTOKINE SIGNALING,CCR5
CYTOKINE SIGNALING,CCR2
CYTOKINE SIGNALING,FPR1
CYTOKINE SIGNALING,TRAF3
CYTOKINE SIGNALING,MAP3K14
CYTOKINE SIGNALING,BIRC3
CYTOKINE SIGNALING,BIRC2
CYTOKINE SIGNALING,TNFRSF11A
CYTOKINE SIGNALING,TNFSF11
