MoleculeType	Identifier	MoleculeName	
Proteins	P36954	UniProt:P36954 POLR2I	
Proteins	P52435	UniProt:P52435 POLR2J	
Proteins	P24928	UniProt:P24928 POLR2A	
Proteins	P30876	UniProt:P30876 POLR2B	
Proteins	P53803	UniProt:P53803 POLR2K	
Proteins	P19387	UniProt:P19387 POLR2C	
Proteins	O15514	UniProt:O15514 POLR2D	
Proteins	P62487	UniProt:P62487 POLR2G	
Proteins	P35269	UniProt:P35269 GTF2F1	
Proteins	P13984	UniProt:P13984 GTF2F2	
Proteins	P50750	UniProt:P50750 CDK9	
Proteins	O60563	UniProt:O60563 CCNT1	
Proteins	O14646	UniProt:O14646 CHD1	
Proteins	Q8NC69	UniProt:Q8NC69 KCTD6	
Proteins	Q9HCL2	UniProt:Q9HCL2 GPAM	
Proteins	Q99966	UniProt:Q99966 CITED1	
Proteins	P25490	UniProt:P25490 YY1	
Proteins	Q13547	UniProt:Q13547 HDAC1	
Proteins	O60341	UniProt:O60341 KDM1A	
Proteins	P53539	UniProt:P53539 FOSB	
Proteins	P17535	UniProt:P17535 JUND	
Proteins	O60216	UniProt:O60216 RAD21	
Proteins	Q14683	UniProt:Q14683 SMC1A	
Proteins	Q9UQE7	UniProt:Q9UQE7 SMC3	
Proteins	Q8N3U4	UniProt:Q8N3U4 STAG2	
Proteins	Q8WVM7	UniProt:Q8WVM7 STAG1	
Proteins	P01106	UniProt:P01106 MYC	
Proteins	P10242	UniProt:P10242 MYB	
Proteins	P17844	UniProt:P17844 DDX5	
Proteins	Q07654	UniProt:Q07654 TFF3	
Proteins	O00559	UniProt:O00559 EBAG9	
Proteins	P52292	UniProt:P52292 KPNA2	
Proteins	P07339	UniProt:P07339 CTSD	
Proteins	P20226	UniProt:P20226 TBP	
Proteins	P52655	UniProt:P52655 GTF2A1	
Proteins	P52657	UniProt:P52657 GTF2A2	
Proteins	P04155	UniProt:P04155 TFF1	
Proteins	Q86X55	UniProt:Q86X55 CARM1	
Proteins	Q92993	UniProt:Q92993 KAT5	
Proteins	Q92831	UniProt:Q92831 KAT2B	
